"Most common way to access account for Nation, 2013 by Selected Household Characteristics"
"Banked households that accessed account in past 12 months"

"Row Variables","Number of Households (1000s)","Number of Households (PCT)","Bank teller","ATM/Kiosk","Telephone banking","Online banking","Mobile banking","Other"
"All Households","112864","100","33.3","24.0","3.2","33.2","5.5","0.8"
"Race/Ethnicity (PCT)",,,,,,,,
"Black","11987","100","35.4","30.5","4.6","22.0","6.7","0.8"
"Hispanic","12852","100","34.3","29.7","3.6","23.4","8.4","0.6"
"Asian","5464","100","30.5","21.2","1.5","40.7","5.5","0.7"
"American Indian or Alaska Native","620","100","41.2","27.8","3.2","23.9","3.2","0.8"
"Native Hawaiian or Other Pacific Islander","276","100","29.1","27.2","4.9","34.4","4.5","-"
"White","80332","100","33.1","22.2","3.1","35.9","4.9","0.8"
"Two or More Races","1333","100","23.8","27.0","2.7","37.9","7.7","0.9"
"Age group (PCT)",,,,,,,,
"15 to 24 years","5240","100","21.0","27.7","2.9","28.5","19.7","0.2"
"25 to 34 years","17824","100","17.1","23.3","3.0","43.8","12.8","0.1"
"35 to 44 years","19372","100","21.7","24.3","2.9","42.3","8.6","0.2"
"45 to 54 years","22564","100","27.6","27.1","3.1","38.0","3.6","0.5"
"55 to 64 years","21223","100","37.1","25.5","3.4","32.1","1.3","0.7"
"65 years or more","26641","100","56.8","19.7","3.7","17.3","0.6","2.0"
"Education (PCT)",,,,,,,,
"No high school diploma","10007","100","56.5","26.4","3.9","8.8","2.5","1.9"
"High school diploma","29514","100","43.3","26.7","3.7","21.0","4.1","1.2"
"Some college","33734","100","31.8","24.4","3.5","32.6","7.1","0.7"
"College degree","39609","100","21.3","21.0","2.4","49.0","6.0","0.3"
"Employment status (PCT)",,,,,,,,
"Employed","71145","100","25.4","24.5","2.9","39.6","7.3","0.3"
"Unemployed","4160","100","29.3","26.8","3.6","31.9","8.0","0.4"
"Not in labor force","37560","100","48.7","22.6","3.7","21.3","1.9","1.7"
"Family income (PCT)",,,,,,,,
"Less than $15,000","13272","100","48.5","26.5","4.0","14.9","3.9","2.2"
"$15,000 to $30,000","18890","100","46.2","25.7","4.3","17.4","5.1","1.3"
"$30,000 to $50,000","23023","100","36.8","25.7","3.6","27.0","6.2","0.7"
"$50,000 to $75,000","22045","100","29.7","23.8","2.9","37.1","6.2","0.4"
"At least $75,000","35634","100","20.8","21.2","2.2","50.0","5.5","0.3"
"Disability status (PCT)",,,,,,,,
"Disabled, aged 25 to 64","8654","100","36.8","28.7","5.1","25.4","2.6","1.4"
"Not disabled, aged 25 to 64","72329","100","25.1","24.7","2.9","40.4","6.7","0.3"
"Metropolitan and nonmetropolitan status (PCT)",,,,,,,,
"Metropolitan area","94777","100","30.9","24.3","3.1","35.0","6.0","0.6"
"Not in metropolitan area","17301","100","45.9","22.3","3.8","23.3","3.1","1.5"
"Not identified","786","100","38.1","16.3","2.9","33.1","7.5","1.9"

"Source: 2013 Survey of Unbanked and Underbanked Households"
"Estimates may not match previously published estimates because missing values in the 2013 data have been replaced with imputed data."
" - indicates an estimate of zero. The population proportion may be slightly greater than zero."
"Race/Ethnicity: A household is classified as Hispanic if the householder identifies as Hispanic or Latino regardless of race. A household is classified as Black if the householder identifies as Black or African American alone and not Hispanic or Latino. A household is classified as Asian if the householder identifies as Asian alone and not Hispanic or Latino. A household is classified as American Indian or Alaska Native if the householder identifies as American Indian or Alaska Native alone and not Hispanic or Latino. A household is classified as Native Hawaiian or Other Pacific Islander if the householder identifies as Native Hawaiian or Other Pacific Islander alone and not Hispanic or Latino. A household is classified as White if the householder identifies as White alone and not Hispanic or Latino. A household is classified as Two or More Races if the householder identifies as two or more races and not Hispanic or Latino."
